,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,MonthlyCharges,TotalCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check
1483,1,0,1,1,0.7042253521126761,1,0,1,1,0,1,0,1,1,0.5124378109452736,0.4089199169166859,1,0,0,0,1,0,0,1,0,0
2151,0,0,0,0,0.943661971830986,1,1,0,0,0,0,0,0,1,0.05870646766169152,0.17078813754904223,0,0,1,0,0,1,1,0,0,0
6113,0,0,0,0,0.28169014084507044,1,1,0,0,0,0,0,0,0,0.5676616915422885,0.17907915993537965,0,1,0,1,0,0,0,0,0,1
1916,1,0,0,0,0.6056338028169015,1,1,0,1,1,0,0,0,1,0.6621890547263681,0.4435437341333949,0,1,0,1,0,0,1,0,0,0
3174,0,0,1,0,0.8028169014084507,0,0,0,0,0,0,1,1,1,0.26616915422885573,0.30816408954534963,1,0,0,0,1,0,0,1,0,0
5391,1,0,0,0,0.07042253521126761,0,0,0,0,0,1,1,1,1,0.30845771144278605,0.0273251788599123,1,0,0,0,1,0,0,0,0,1
6600,1,0,1,1,0.02816901408450704,0,0,1,0,0,0,0,0,0,0.11393034825870646,0.008412185552734826,1,0,0,1,0,0,0,1,0,0
5364,0,0,0,0,0.23943661971830985,1,1,0,0,1,0,0,1,1,0.7208955223880598,0.18214285714285716,0,1,0,1,0,0,0,1,0,0
4550,1,0,1,1,1.0,1,1,0,0,0,0,0,0,1,0.07960199004975121,0.22723863374105702,0,0,1,0,0,1,1,0,0,0
6626,0,1,1,0,0.07042253521126761,1,0,0,0,1,0,1,1,1,0.7711442786069651,0.06403761827832911,0,1,0,1,0,0,0,0,1,0
5394,1,0,1,0,0.6619718309859155,1,1,0,1,0,1,1,1,1,0.8641791044776118,0.5844391876298177,0,1,0,1,0,0,0,1,0,0
657,0,0,1,0,0.619718309859155,1,0,1,1,1,0,1,1,0,0.6024875621890546,0.41295868912993305,1,0,0,0,1,0,1,0,0,0
6863,1,0,1,0,0.6619718309859155,1,1,1,0,0,1,0,0,1,0.42139303482587065,0.3423090237710593,1,0,0,0,1,0,1,0,0,0
5300,1,0,1,1,0.0,1,0,0,0,0,0,1,0,1,0.6149253731343283,0.007067851373182552,0,1,0,1,0,0,0,0,0,1
27,0,0,1,1,0.0,0,0,0,1,0,0,0,0,0,0.11890547263681589,0.0013154858066005077,1,0,0,1,0,0,0,0,1,0
2719,1,1,1,1,0.7746478873239437,1,0,1,0,0,1,1,1,1,0.5407960199004974,0.46913801061620125,1,0,0,0,0,1,0,1,0,0
1776,0,1,1,0,1.0,1,1,0,0,0,0,0,0,1,0.06716417910447761,0.205833141010847,0,0,1,0,0,1,1,0,0,0
521,0,1,1,0,0.3943661971830986,1,1,0,0,0,0,0,0,1,0.33184079601990046,0.16422801753981076,1,0,0,1,0,0,0,0,1,0
4637,0,1,1,0,0.9859154929577465,1,0,1,1,0,1,1,0,1,0.5248756218905473,0.5761943226402031,1,0,0,0,1,0,1,0,0,0
5640,0,0,0,0,0.0,1,0,0,0,0,0,0,1,0,0.6104477611940298,0.007015924301869374,0,1,0,1,0,0,0,0,1,0
986,1,0,0,0,0.15492957746478872,1,0,0,0,0,0,0,0,0,0.254228855721393,0.06025271174705748,1,0,0,1,0,0,1,0,0,0
2678,0,0,0,0,0.4084507042253521,1,0,0,0,0,0,0,0,0,0.014427860696517386,0.06995730440803138,0,0,1,0,1,0,0,0,0,1
2108,1,0,0,0,0.6338028169014085,1,0,0,0,0,0,0,0,0,0.2656716417910448,0.24810754673436422,1,0,0,1,0,0,1,0,0,0
5283,1,0,0,1,0.25352112676056343,1,0,0,0,0,1,0,0,0,0.3039800995024875,0.107875605815832,1,0,0,1,0,0,0,0,0,1
6255,0,1,1,0,0.9577464788732395,1,1,1,0,1,1,1,1,1,0.9184079601990048,0.8759866143549504,0,1,0,0,1,0,0,0,0,1
4978,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.2572139303482587,0.0029194553427186708,1,0,0,1,0,0,0,0,1,0
2760,0,0,0,0,0.35211267605633806,1,0,0,0,0,0,0,0,1,0.023880597014925342,0.06654742672513271,0,0,1,0,1,0,0,1,0,0
2921,0,0,0,0,0.11267605633802817,1,1,0,0,0,0,1,1,1,0.7686567164179104,0.09350334641126241,0,1,0,1,0,0,0,0,1,0
2255,1,0,0,1,0.0,1,0,1,0,0,0,0,0,0,0.3278606965174129,0.0037387491345488117,1,0,0,1,0,0,0,0,0,1
2887,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.2666666666666666,0.003029079159935379,1,0,0,1,0,0,0,0,0,1
5739,0,1,1,0,0.9295774647887325,1,1,0,1,0,1,1,1,0,0.8422885572139304,0.804396492037849,0,1,0,0,0,1,1,0,0,0
1394,1,0,1,1,0.8591549295774649,1,1,0,1,1,1,1,1,1,0.9208955223880596,0.7872317101315486,0,1,0,0,1,0,0,0,1,0
1628,1,1,1,0,0.4084507042253521,1,1,0,1,0,0,1,0,1,0.7144278606965173,0.3009923840295407,0,1,0,1,0,0,0,0,1,0
3963,1,0,0,0,0.943661971830986,1,0,0,0,0,0,0,0,0,0.013432835820895522,0.16418762981767832,0,0,1,0,0,1,0,1,0,0
1541,0,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0.015920398009950265,0.16331640895453498,0,0,1,0,0,1,1,0,0,0
6841,0,0,0,0,0.056338028169014086,1,0,1,0,0,1,0,0,1,0.3731343283582089,0.028634894991922455,1,0,0,1,0,0,0,0,0,1
5246,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,1,0,1,0.6119402985074627,0.016812831756288945,0,1,0,1,0,0,0,0,1,0
1953,0,0,0,1,0.0,1,0,0,1,0,0,0,0,1,0.5681592039800994,0.0065255019616893605,0,1,0,1,0,0,0,0,1,0
1113,1,0,1,0,0.5070422535211268,1,1,0,0,1,0,0,0,1,0.6039800995024875,0.32550773136395106,0,1,0,1,0,0,0,1,0,0
1038,0,0,1,0,0.7746478873239437,1,0,0,0,0,0,0,1,1,0.6233830845771144,0.5237364412647126,0,1,0,0,1,0,0,0,1,0
510,0,1,1,1,0.26760563380281693,1,0,1,0,1,1,0,1,0,0.7567164179104477,0.20765058850680823,0,1,0,0,1,0,0,1,0,0
1777,1,0,0,0,0.3802816901408451,1,1,0,0,0,1,0,0,1,0.36467661691542286,0.17151511654742674,1,0,0,1,0,0,0,1,0,0
5345,0,0,0,0,0.35211267605633806,1,0,0,1,1,0,1,0,0,0.7119402985074627,0.2673090237710593,0,1,0,1,0,0,0,0,1,0
2856,0,0,0,0,0.0,1,1,0,0,0,0,0,0,1,0.31741293532338305,0.0036175859681513963,1,0,0,1,0,0,0,0,1,0
5223,0,0,1,0,0.8450704225352113,1,1,0,0,0,0,0,0,0,0.07164179104477608,0.17537502884837294,0,0,1,0,0,1,1,0,0,0
3176,1,0,1,0,0.7042253521126761,1,1,0,0,0,0,0,0,0,0.07213930348258707,0.14567851373182553,0,0,1,0,0,1,0,0,0,1
5100,1,0,0,0,0.0,1,0,0,0,1,0,0,0,0,0.5676616915422885,0.006519732287099007,0,1,0,1,0,0,0,0,1,0
5169,0,0,0,1,0.19718309859154928,1,0,1,0,1,0,0,1,0,0.46368159203980097,0.10754096468959151,1,0,0,0,1,0,0,0,0,1
4157,0,0,0,0,0.14084507042253522,1,0,0,0,0,0,0,0,0,0.2681592039800995,0.05460420032310178,1,0,0,1,0,0,0,1,0,0
7025,1,0,0,0,0.23943661971830985,1,1,0,0,1,1,0,1,1,0.7641791044776118,0.19162243249480732,0,1,0,1,0,0,1,0,0,0
985,1,1,1,0,0.4507042253521127,1,1,0,1,0,0,0,0,1,0.6203980099502486,0.30437341333948764,0,1,0,1,0,0,1,0,0,0
5496,0,0,1,1,0.5915492957746479,1,1,0,0,0,0,0,0,0,0.05970149253731341,0.12221901684744982,0,0,1,0,0,1,0,0,0,1
5801,0,1,1,0,0.46478873239436624,1,1,0,0,0,0,0,0,1,0.5701492537313433,0.2777059773828756,0,1,0,1,0,0,0,0,1,0
1965,0,0,0,0,0.323943661971831,1,0,1,0,0,0,0,0,1,0.3114427860696517,0.1375028848372952,1,0,0,1,0,0,1,0,0,0
5810,1,0,1,1,0.22535211267605634,1,1,0,0,0,0,0,1,1,0.6686567164179105,0.16533579506115856,0,1,0,1,0,0,0,0,1,0
51,1,0,0,0,0.19718309859154928,1,0,1,1,0,0,1,1,1,0.8044776119402984,0.1624278790676206,0,1,0,1,0,0,0,1,0,0
6461,0,0,1,0,0.676056338028169,1,0,0,1,0,0,1,0,1,0.6671641791044776,0.49378606046618967,0,1,0,1,0,0,0,1,0,0
1938,1,0,0,0,0.0,1,0,0,0,0,0,0,0,0,0.026368159203980085,0.00024232633279483006,0,0,1,1,0,0,0,0,0,1
2296,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0.2681592039800995,0.0030463881837064395,1,0,0,1,0,0,0,0,1,0
5026,0,0,1,1,0.3098591549295775,1,0,0,0,0,0,0,0,1,0.01741293532338306,0.049215324255711984,0,0,1,0,1,0,0,1,0,0
6021,1,0,1,1,0.16901408450704225,1,0,0,0,0,0,0,0,1,0.021890547263681587,0.027198246018924534,0,0,1,1,0,0,0,0,0,1
1024,0,0,0,0,0.5070422535211268,1,0,0,0,0,0,0,0,1,0.5184079601990049,0.292418647588276,0,1,0,1,0,0,0,0,0,1
141,1,0,0,0,0.09859154929577466,1,1,1,0,0,1,0,1,0,0.5263681592039802,0.06287214401107778,1,0,0,1,0,0,0,0,1,0
5618,0,0,0,0,0.14084507042253522,1,0,0,0,0,0,0,0,0,0.020895522388059695,0.022669051465497345,0,0,1,1,0,0,0,0,0,1
5944,0,0,0,0,0.15492957746478872,1,0,1,0,0,1,0,0,0,0.3820895522388059,0.07339603046388185,1,0,0,1,0,0,0,0,0,1
5238,1,0,1,0,0.4507042253521127,1,0,0,1,0,1,0,0,1,0.3532338308457711,0.21215093468728363,1,0,0,0,1,0,0,1,0,0
5052,0,0,0,1,0.23943661971830985,1,0,0,0,0,0,0,0,1,0.27263681592039796,0.08405261943226403,1,0,0,1,0,0,0,1,0,0
6927,0,0,1,1,0.056338028169014086,1,1,1,1,0,1,0,0,0,0.4592039800995025,0.034398799907685206,1,0,0,1,0,0,0,1,0,0
96,0,0,1,1,0.9859154929577465,1,1,1,1,0,1,0,0,1,0.4835820895522387,0.545799676898223,1,0,0,0,1,0,0,1,0,0
1745,1,0,1,1,0.7746478873239437,1,0,0,0,0,0,0,0,1,0.015422885572139305,0.12705977382875608,0,0,1,0,0,1,0,1,0,0
4073,0,0,1,1,0.18309859154929578,1,0,1,1,0,0,1,0,1,0.4696517412935324,0.10602354027232865,1,0,0,1,0,0,0,0,1,0
4250,0,0,0,0,0.8732394366197184,1,1,1,1,1,1,1,0,0,0.8582089552238806,0.7583660281560121,0,1,0,0,1,0,0,1,0,0
5355,0,0,0,0,0.6619718309859155,1,1,1,0,0,1,0,1,1,0.7676616915422886,0.5107892914839604,0,1,0,1,0,0,0,0,1,0
3169,0,0,1,1,0.7183098591549296,1,0,0,1,1,1,1,0,1,0.5024875621890547,0.3997288252942534,1,0,0,0,1,0,0,0,1,0
468,1,0,0,1,0.6056338028169015,1,0,0,0,0,0,0,0,0,0.01641791044776117,0.09800369259173783,0,0,1,0,0,1,0,0,0,1
1078,1,1,0,0,0.8169014084507042,1,1,0,1,0,0,0,0,1,0.6064676616915423,0.5275271174705747,0,1,0,0,0,1,0,1,0,0
4141,1,1,0,0,0.47887323943661975,0,0,0,0,1,0,1,0,1,0.21492537313432836,0.1633741057004385,1,0,0,1,0,0,0,0,1,0
5280,1,0,1,1,0.4507042253521127,1,1,0,0,1,1,1,1,1,0.6059701492537314,0.28993768751442417,1,0,0,0,1,0,0,0,1,0
1469,0,0,0,0,0.5070422535211268,1,1,0,0,0,1,1,1,0,0.8014925373134327,0.3988864528040619,0,1,0,1,0,0,1,0,0,0
2302,0,0,1,1,0.9859154929577465,1,1,1,1,1,1,1,1,1,0.7263681592039801,0.7582275559658436,1,0,0,0,0,1,0,0,0,1
564,0,0,0,0,0.08450704225352114,1,0,0,0,1,1,1,0,0,0.4582089552238805,0.04929033002538657,1,0,0,1,0,0,1,0,0,0
955,0,0,1,0,0.0,1,0,0,0,0,0,0,0,0,0.2631840796019901,0.0029886914378029084,1,0,0,1,0,0,0,1,0,0
2511,0,1,1,0,0.3943661971830986,1,0,1,0,1,0,0,1,0,0.7149253731343282,0.304396492037849,0,1,0,0,1,0,1,0,0,0
5980,1,0,0,0,0.22535211267605634,1,0,1,1,0,1,1,1,0,0.6129353233830845,0.1579217632125548,1,0,0,0,1,0,0,1,0,0
1774,0,0,1,1,0.0,1,0,1,0,0,0,0,0,1,0.3034825870646766,0.0034560350796215096,1,0,0,1,0,0,0,0,0,1
234,1,0,0,0,0.3943661971830986,1,1,0,0,0,0,0,0,0,0.06865671641791044,0.07883683360258482,0,0,1,1,0,0,0,0,1,0
5108,1,0,0,0,0.3098591549295775,1,0,0,0,1,0,0,0,0,0.3129353233830846,0.12259981537041312,1,0,0,1,0,0,0,1,0,0
4451,0,1,0,0,0.619718309859155,1,1,0,0,0,0,1,1,1,0.7527363184079602,0.48251211631663976,0,1,0,1,0,0,1,0,0,0
4405,0,0,1,1,0.07042253521126761,1,0,0,1,0,0,0,1,1,0.6497512437810945,0.05293676436648974,0,1,0,1,0,0,0,1,0,0
5511,0,0,1,0,0.971830985915493,1,1,1,0,0,1,1,1,1,0.5840796019900497,0.6082390953150243,1,0,0,0,0,1,0,1,0,0
310,1,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.009950248756218888,5.192707131317781e-05,0,0,1,1,0,0,1,0,0,0
913,0,0,0,0,0.15492957746478872,1,0,0,0,0,0,0,0,0,0.01791044776119402,0.02864066466651281,0,0,1,0,1,0,0,1,0,0
2901,1,0,1,1,1.0,1,1,1,1,0,0,1,0,1,0.7646766169154228,0.7874855758135241,0,1,0,0,0,1,0,0,1,0
4841,1,0,0,0,0.323943661971831,1,0,1,0,0,0,1,1,1,0.7597014925373133,0.261291253173321,0,1,0,1,0,0,0,0,1,0
456,0,0,1,1,0.3802816901408451,1,0,0,1,1,1,1,0,0,0.7427860696517413,0.31728017539810754,0,1,0,0,1,0,1,0,0,0
5563,1,0,0,0,0.04225352112676056,1,0,0,0,0,0,0,0,0,0.018905472636815884,0.007581352411723978,0,0,1,1,0,0,0,0,0,1
4575,0,0,0,0,0.04225352112676056,1,1,0,0,0,0,0,0,0,0.06965174129353235,0.00958919916916686,0,0,1,1,0,0,0,0,0,1
6739,0,0,0,0,0.04225352112676056,1,0,0,0,0,0,0,1,1,0.3746268656716417,0.02535195015001154,1,0,0,1,0,0,0,0,1,0
2643,1,0,0,0,0.4507042253521127,1,1,0,0,0,0,0,1,1,0.6477611940298507,0.3160685437341334,0,1,0,1,0,0,0,0,1,0
3510,1,0,0,0,0.09859154929577466,1,1,0,0,0,0,0,0,1,0.5671641791044776,0.06437802907915995,0,1,0,1,0,0,0,0,1,0
4449,1,0,0,0,0.8309859154929577,1,1,0,1,1,0,1,1,0,0.8601990049751244,0.728709900761597,0,1,0,0,0,1,0,0,1,0
1348,0,0,1,0,0.1267605633802817,1,0,0,0,0,0,1,0,1,0.6139303482587065,0.09674590353104086,0,1,0,1,0,0,0,0,1,0
5860,1,0,0,0,0.014084507042253521,1,0,0,0,0,0,0,0,0,0.5149253731343283,0.015491576275098087,0,1,0,1,0,0,1,0,0,0
6820,1,0,1,0,0.8169014084507042,1,1,0,0,1,1,1,0,0,0.7472636815920397,0.6193976459727671,0,1,0,1,0,0,0,0,1,0
7029,1,1,0,0,0.07042253521126761,0,0,0,0,0,0,1,1,1,0.2601990049751243,0.028184860373874916,1,0,0,1,0,0,0,0,1,0
416,0,0,1,0,0.971830985915493,1,1,0,1,1,1,0,1,1,0.800497512437811,0.7893030233094853,0,1,0,0,0,1,1,0,0,0
3796,1,0,0,0,0.19718309859154928,1,1,0,0,0,0,0,0,1,0.30696517412935326,0.07624624971151626,1,0,0,1,0,0,0,0,1,0
1671,0,0,1,1,0.9154929577464789,1,0,1,1,1,0,1,1,1,0.8447761194029851,0.8091968612970228,0,1,0,0,1,0,1,0,0,0
191,0,0,1,0,0.07042253521126761,1,0,0,1,1,0,0,1,1,0.7238805970149254,0.0591045465035772,0,1,0,1,0,0,0,0,1,0
4652,1,0,0,0,0.3098591549295775,1,0,0,0,0,0,0,0,1,0.013930348258706454,0.05300023078698362,0,0,1,0,1,0,0,1,0,0
6609,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.01840796019900498,0.00015001153934918058,0,0,1,1,0,0,0,0,0,1
4630,0,0,0,0,0.295774647887324,1,1,1,1,1,0,0,0,0,0.4656716417910447,0.16256058158319872,1,0,0,1,0,0,0,0,0,1
4536,0,0,0,0,0.0,1,0,0,0,0,0,0,0,1,0.508457711442786,0.005833141010846987,0,1,0,1,0,0,0,0,1,0
6633,1,0,0,0,0.0,1,1,0,0,0,0,0,0,1,0.5597014925373134,0.006427417493653358,0,1,0,1,0,0,0,0,1,0
3028,0,0,0,0,0.056338028169014086,0,0,1,1,1,1,0,0,1,0.24875621890547261,0.02310177705977383,1,0,0,1,0,0,0,0,0,1
4224,1,0,1,0,0.9859154929577465,1,0,0,0,0,0,0,0,0,0.013432835820895522,0.16128548349873068,0,0,1,0,0,1,0,0,0,1
4916,1,0,0,0,0.014084507042253521,1,1,0,1,0,0,0,0,0,0.6099502487562188,0.015341564735748905,0,1,0,1,0,0,0,0,1,0
4281,0,0,0,0,0.6901408450704226,0,0,1,1,0,0,0,0,1,0.16666666666666663,0.2035079621509347,1,0,0,1,0,0,0,0,0,1
3609,1,0,0,0,0.8450704225352113,1,1,0,1,1,0,1,1,1,0.8527363184079603,0.739003000230787,0,1,0,0,1,0,0,0,1,0
5871,0,0,0,0,0.323943661971831,1,1,1,0,0,0,0,0,1,0.37213930348258706,0.15944495730440802,1,0,0,1,0,0,1,0,0,0
2738,1,0,1,1,0.5915492957746479,1,0,1,0,1,0,1,1,0,0.5666666666666667,0.3733614124163397,1,0,0,0,0,1,1,0,0,0
971,0,0,1,0,0.676056338028169,1,1,1,1,0,0,1,0,1,0.7522388059701491,0.5439995384260328,0,1,0,1,0,0,1,0,0,0
6468,0,0,1,0,0.18309859154929578,1,0,0,0,0,0,0,0,0,0.26218905472636816,0.0718266789753058,1,0,0,0,1,0,0,0,1,0
5710,1,0,1,0,0.971830985915493,1,1,0,1,1,1,1,1,1,0.917910447761194,0.8923667205169629,0,1,0,0,0,1,0,0,1,0
1302,1,0,1,1,0.619718309859155,1,0,1,0,1,1,1,1,1,0.6243781094527363,0.40558504500346176,1,0,0,0,0,1,0,0,0,1
3722,0,0,0,1,0.3098591549295775,0,0,1,1,0,1,0,0,0,0.22288557213930343,0.10715439649203785,1,0,0,0,1,0,1,0,0,0
2169,1,0,1,0,0.8591549295774649,1,0,1,0,1,1,1,1,0,0.6243781094527363,0.5731710131548581,1,0,0,0,0,1,0,0,0,1
5725,1,0,1,1,0.23943661971830985,1,1,0,0,0,0,0,0,1,0.06368159203980098,0.05222132471728595,0,0,1,0,0,1,0,1,0,0
4142,1,0,0,0,0.9295774647887325,1,0,1,1,0,1,0,0,0,0.4203980099502488,0.44440341564735747,1,0,0,0,1,0,0,1,0,0
4401,1,1,1,1,0.6338028169014085,1,1,1,1,0,1,1,1,1,0.9149253731343284,0.5715785829679206,0,1,0,1,0,0,0,0,1,0
1982,0,0,0,1,0.18309859154929578,1,0,0,0,0,0,0,0,0,0.01691542288557213,0.028802215555042695,0,0,1,1,0,0,0,0,0,1
2548,0,1,0,0,0.09859154929577466,1,0,0,0,0,0,0,0,1,0.5144278606965175,0.06276252019386108,0,1,0,1,0,0,0,1,0,0
759,1,0,1,1,1.0,1,1,1,1,0,1,0,0,1,0.717412935323383,0.7552042464804984,0,1,0,0,0,1,1,0,0,0
5790,1,0,1,1,0.5492957746478874,0,0,0,1,0,0,1,1,1,0.32437810945273626,0.23283521809369953,1,0,0,1,0,0,0,0,1,0
3505,0,0,0,0,0.11267605633802817,0,0,0,0,0,0,0,0,1,0.06666666666666665,0.019784214170320794,1,0,0,1,0,0,0,0,1,0
3504,0,0,1,1,0.943661971830986,1,0,0,0,0,0,0,0,0,0.01691542288557213,0.15680821601661668,0,0,1,0,0,1,1,0,0,0
